iter	Passed	Remaining
0	144	144338
1	158	79123
2	177	58847
3	191	47779
4	204	40771
5	226	37591
6	233	33167
7	243	30229
8	271	29890
9	274	27193
10	279	25118
11	281	23204
12	283	21552
13	286	20180
14	288	18969
15	290	17889
16	293	16956
17	295	16129
18	310	16027
19	312	15299
20	313	14635
21	315	14030
22	317	13479
23	319	12973
24	320	12506
25	322	12075
26	324	11687
27	326	11320
28	328	11001
29	330	10680
30	337	10553
31	339	10269
32	341	10002
33	342	9744
34	344	950835	353	9462
36	355	9250
37	377	9555
38	379	9342
39	381	9144
40	382	8954
41	384	8776
42	386	8606
43	388	8444
44	390	8288
445	391	8125446	410	8318
47	412	8176
48	414	8039
49	416	7908
50	418	7781
51	419	7653
52	421	7536
53	423	742454	432	7429
55	434	7322
56	435	7210
57	441	7175
58	453	7231
59	455	7133
660	473	7291
61	508	7692
62	510	7593
63	512	7495
64	514	7396
65	516	7305
66	518	7216
67	520	7131
68	523	7060
69	525	6979
70	540	7073
71	542	6988
72	544	6910
73	546	6834
74	548	6760
75	550	6688
76	552	6618
77	554	6550
78	556	6483
79	558	6417
80	574	6514
81	576	6452
82	578	6390
83	580	6328
84	582	6269
85	584	6211
86	588	6175
87	590	6122
88	592	6066
89	594	6012
90	596	5960
91	598	5908
92	600	5857
93	602	5805
94	604	5761
95	643	6058
96	645	6007
97	646	5954
98	648	5906
99	650	5858
100	653	5812
101	655	5766
102	657	5723
103	659	5679
104	660	5633
105	662	5591
106	665	5550
107	667	5509
108	669	5470
109	671	5431
110	672	5387
111	674	5348
112	676	5311
113	678	5274
114	680	5237
115	710	5411
116	737	5564
117	739	5524
118	741	5486
119	743	5449
120	745	5412
121	747	5377
122	749	5342
123	751	5309
124	753	5275
125	755	5241
126	757	5208
127	759	5176
128	761	5140
129	763	5109
130	765	5077
131	797	5242
132	844	5504
133	845	5467
134	864	5538
135	866	5503
136	868	5469
137	870	5435
138	872	5402
139	885	5441
140	914	5569
141	916	5536
142	918	5503
143	920	5471
144	922	5439
145	924	5406
146	926	5374
147	928	5343
148	930	5313
149	932	5283
150	934	5253
151	936	5223
152	938	5194
153	940	5165
154	942	5136
155	944	5108
156	946	5080
157	948	5052
158	980	5186
159	982	5158
160	984	5130
161	986	5103
162	988	5076
163	990	5050
164	992	5024
165	994	4998
166	996	4970
167	998	4945
168	1000	4917
169	1001	4891
170	1003	4867
171	1006	4842
172	1007	4818
173	1009	4794
174	1012	4771
175	1014	4747
176	1016	4724
177	1018	4701
178	1020	4678
179	1058	4821
180	1060	4798
181	1062	4776
182	1064	4752
183	1066	4730
184	1068	4707
185	1070	4685
186	1084	4717
187	1086	4694
188	1088	4672
189	1090	4650
190	1092	4629
191	1095	4608
192	1097	4588
193	1099	4567
194	1101	4547
195	1127	4626
196	1130	4606
197	1132	4585
198	1134	4565
199	1136	4544
200	1138	4524
201	1140	4504
202	1142	4484
203	1144	4465
204	1146	4445
205	1148	4426
206	1150	4407
207	1152	4388
208	1154	4369
209	1156	4350
210	1158	4332
211	1195	4444
212	1197	4425
213	1199	4406
214	1201	4388
215	1203	4369
216	1206	4351
217	1208	4333
218	1210	4318
219	1212	4300
220	1235	4355
221	1238	4338
222	1239	4320
223	1242	4304
224	1244	4286
225	1246	4268
226	1248	4250
227	1250	4233
228	1252	4216
229	1254	4199
230	1256	4181
231	1258	4164
232	1260	4147
233	1262	4131
234	1264	4115
235	1266	4098
236	1286	4142
237	1288	4126
238	1290	4110
239	1293	4095
240	1295	4079
241	1297	4063
242	1299	4047
243	1301	4032
244	1303	4017
245	1305	4002
246	1308	3989
247	1310	3972
248	1312	3957
249	1338	4016
250	1341	4002
251	1343	3987
252	1345	3973
253	1347	3958
254	1349	3943
255	1351	3928
256	1392	4025
257	1394	4010
258	1396	3995
259	1398	3980
260	1400	3965
261	1402	3950
262	1404	3935
263	1434	3999
264	1436	3984
265	1438	3969
266	1440	3955
267	1442	3941
268	1444	3925
269	1446	3910
270	1448	3896
271	1463	3917
272	1465	3903
273	1467	3889
274	1491	3932
275	1493	3917
276	1495	3902
277	1497	3889
278	1499	3875
279	1506	3872
280	1509	3861
281	1511	3847
282	1513	3834
283	1515	3820
284	1517	3806
285	1519	3793
286	1521	3780
287	1523	3766
288	1525	3753
289	1527	3739
290	1529	3726
291	1531	3713
292	1565	3776
293	1567	3763
294	1569	3750
295	1571	3737
296	1573	3724
297	1575	3711
298	1577	3698
299	1579	3685
300	1581	3672
301	1583	3660
302	1585	3647
303	1587	3635
304	1589	3622
305	1591	3610
306	1593	3597
307	1595	3585
308	1597	3573
309	1600	3561
310	1602	3549
311	1604	3537
312	1626	3570
313	1628	3557
314	1630	3545
315	1632	3533
316	1635	3523
317	1637	3511
318	1639	3500
319	1641	3489
320	1643	3477
321	1645	3465
322	1647	3453
323	1650	3443
324	1651	3430
325	1653	3419
